,param_alpha,param_l1_ratio,param_loss,mean_test_precision,rank_test_precision,mean_train_precision,mean_test_recall,rank_test_recall,mean_train_recall,mean_test_f1,rank_test_f1,mean_train_f1
0,0.0005,0.6,modified_huber,0.4451823041456373,9,0.455018788454974,0.2461748973752954,9,0.2522079860679189,0.3170362188809734,9,0.32452972822546916
1,0.0005,0.8,modified_huber,0.5370122553832335,7,0.5494164615737962,0.37996019405398684,5,0.3864286602811295,0.4450349651418319,7,0.4537145411839869
2,0.0005,0.9,modified_huber,0.5677737659605018,6,0.5770949063385173,0.3974996890160468,1,0.4036571712899614,0.4675997736559753,1,0.47504050557450406
3,0.001,0.6,modified_huber,0.5345443753392998,8,0.5421157222747911,0.3202512750342082,8,0.3221171787535763,0.3979768315036715,8,0.40118980019431605
4,0.001,0.8,modified_huber,0.5763028499199414,4,0.5869609498006005,0.388854335116308,3,0.3965667371563627,0.46436460878566516,3,0.47333298723966993
5,0.001,0.9,modified_huber,0.5738163483578114,5,0.5854038512448652,0.39003607413857444,2,0.39669113073765394,0.46439455275303254,2,0.4729163346127272
6,0.002,0.6,modified_huber,0.5781524728979965,3,0.5876962673309647,0.38400298544595096,4,0.3919641746485881,0.4614836522262085,4,0.4702671755255488
7,0.002,0.8,modified_huber,0.5844953970757523,1,0.5986657780046702,0.3754820251275034,7,0.3829456400049758,0.4572290026250408,6,0.467097808065278
8,0.002,0.9,modified_huber,0.5830026072962822,2,0.5954799929702062,0.3792138325662396,6,0.3848115437243438,0.4595266062446212,5,0.4675088866699494
